Gas_consumption,Electricity_consumption,Water_consumption,Self_Storage_BuildingType,Industrial_BuildingType,Service_BuildingType,Office_BuildingType,Parking_BuildingType,Warehouse_BuildingType,Recreation_BuildingType,School_BuildingType,Hospital_BuildingType,Commercial_BuildingType,Residential_BuildingType,Other_BuildingType,Under9_AgePercentage,More60_AgePercentage,Female_Percentage,Median_Income,ResArea_ZipCode,LandUse_ZipCode,OfficeArea_ZipCode,BldgArea_ZipCode,BuildingAge,Occupancy,NumberofBuilding_Complex,Energy_Star_Score,Heating_dd,Cooling_dd,GHG,GFA(ft2)
1460.84013,134.3635495,4097.010469,0,0,0,0,0,0,0,0,0,0,1,0,19.3,11.7,0.513865894,51940,4344.21365,4344.21365,4344.21365,4344.21365,45,100,1,35,4496,1544,1983.9,296138
1471.760058,68.54555359,8553.550457,0,0,0,0,0,0,0,0,0,0,1,0,10.9,34.3,0.535962441,103555,21727.79085,21727.79085,21727.79085,21727.79085,65,100,2,38,4496,1544,1645.1,237800
1455.953878,93.42773096,812.3802223,0,0,1,0,0,0,0,0,0,0,0,0,11.2,24.7,0.530424408,70956,14206.03125,14206.03125,14206.03125,14206.03125,47,100,1,4,4496,1544,1785.5,123369
1415.007973,196.3537396,16324.96651,0,0,0,0,0,0,0,0,0,0,1,0,4.6,20.4,0.491036543,122090,32529.20904,32529.20904,32529.20904,32529.20904,53,100,1,19,3978,1732,2363.5,392966
1437.513922,164.5007141,7216.428872,0,0,0,0,0,0,0,0,0,0,1,0,10.8,22.8,0.490108337,48393,4465.868521,4465.868521,4465.868521,4465.868521,91,100,1,49,3978,1732,2202.9,328768
1437.513922,164.5007141,7216.428872,0,0,0,0,0,0,0,0,0,0,1,0,11.1,19.2,0.490108337,48393,4465.868521,4465.868521,4465.868521,4465.868521,91,100,1,49,3978,1732,2202.9,328768
1437.513922,164.5007141,7216.428872,0,0,0,0,0,0,0,0,0,0,1,0,10.8,22.8,0.568103777,48393,4465.868521,4465.868521,4465.868521,4465.868521,91,100,1,49,3978,1732,2202.9,328768
1437.513922,164.5007141,7216.428872,0,0,0,0,0,0,0,0,0,0,1,0,11.1,19.2,0.568103777,48393,4465.868521,4465.868521,4465.868521,4465.868521,91,100,1,49,3978,1732,2202.9,328768
1437.513922,164.5007141,7216.428872,0,0,0,0,0,0,0,0,0,0,1,0,10.8,22.8,0.490108337,45987,4465.868521,4465.868521,4465.868521,4465.868521,91,100,1,49,3978,1732,2202.9,328768
1437.513922,164.5007141,7216.428872,0,0,0,0,0,0,0,0,0,0,1,0,11.1,19.2,0.490108337,45987,4465.868521,4465.868521,4465.868521,4465.868521,91,100,1,49,3978,1732,2202.9,328768
1437.513922,164.5007141,7216.428872,0,0,0,0,0,0,0,0,0,0,1,0,10.8,22.8,0.568103777,45987,4465.868521,4465.868521,4465.868521,4465.868521,91,100,1,49,3978,1732,2202.9,328768
1437.513922,164.5007141,7216.428872,0,0,0,0,0,0,0,0,0,0,1,0,11.1,19.2,0.568103777,45987,4465.868521,4465.868521,4465.868521,4465.868521,91,100,1,49,3978,1732,2202.9,328768
1435.272036,187.4334449,10677.36618,0,0,0,0,0,0,0,0,0,0,1,0,7.2,24.3,0.513714286,102165,58963.63303,58963.63303,58963.63303,58963.63303,10,100,1,3,4496,1544,2205.5,267737
1437.750467,100.5743464,11546.36219,0,0,0,0,0,0,0,0,0,0,1,0,10.1,27.2,0.550104583,25231,146578.25,146578.25,146578.25,146578.25,57,100,1,31,4496,1544,1783.4,324023
1466.901461,224.9156172,10439.88364,0,0,0,0,0,0,0,0,0,0,1,0,5.9,2,0.452846975,124719,11537.05714,11537.05714,11537.05714,11537.05714,9,100,1,45,4496,1544,2390,468351
1446.690357,268.2230571,15547.99969,0,0,0,0,0,0,0,0,0,0,1,0,11.4,15.6,0.585167074,87617,46229.63158,46229.63158,46229.63158,46229.63158,12,100,1,56,4496,1544,2597.7,582381
